instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_5956_n63_m2.gml;63;126;0.064516;2;14;4.0;0.097235;5;2.8596623834719073;3;5;0.5530555996883918;0.03124239295577212;0.25153312753606105;0.35023920453462815;0.5166666666666667;3;-0.0639412345371602;0.0972354805688139;0.07667731629392971;6.047837954089735;0.6250383081410253;64;
ba_5957_n88_m2.gml;85;185;0.051821;2;17;4.3529;0.118749;6;2.915709342560554;3;6;0.5637246376805147;0.02349903816948466;0.2027152208792636;0.34462970520913855;0.4883720930232558;3;-0.05349300044065036;0.11874867155143973;0.08891013384321224;6.816251893861666;0.6238714514522845;101;
ba_5960_n119_m2.gml;118;233;0.033753;2;19;3.9492;0.068612;6;3.2516518241884516;4;6;0.5634159369015138;0.019650376897600744;0.2547736752709677;0.30968852885995685;0.45348837209302323;3;-0.1216128182048749;0.06861201292512623;0.03836930455635491;6.459090136807003;0.5312511108924315;116;
ba_5964_n108_m1.gml;25;32;0.106667;2;6;2.56;0.0;6;3.1776;4;6;0.7088018058667741;0.10043478260869565;0.4746376811594202;0.31121077792877183;0.46153846153846156;2;0.08045977011494253;0.0;0.0;3.0972238422659966;0.2311981841891934;8;
ba_5966_n142_m3.gml;142;477;0.047648;3;41;6.7183;0.130681;5;2.617932949811545;3;5;0.37264102972740715;0.011689284644034419;0.21449199608763778;0.38384609014862286;0.5617529880478087;4;-0.08948313657940356;0.13068089745787131;0.10650887573964497;11.324416269477545;1.4701163186539246;336;
ba_5972_n139_m3.gml;139;432;0.045042;3;34;6.2158;0.100346;4;2.660421303245174;3;4;0.3191521296808465;0.012260581886759714;0.1816680845415766;0.3769886437569634;0.5307692307692308;4;-0.15945292058319566;0.10034600648015797;0.06991988346686089;9.98911812429095;1.441575482404371;294;
ba_598_n121_m2.gml;121;250;0.034435;2;26;4.1322;0.103803;6;3.113038726862919;4;6;0.48458232113286104;0.017974627867675997;0.28249315701862804;0.32359209719347864;0.4897959183673469;3;-0.13260535849685645;0.10380305267033511;0.05790784557907846;7.381475232838305;0.621208650652858;130;
ba_5990_n130_m3.gml;130;441;0.052594;2;27;6.7846;0.089146;5;2.6263905325443786;3;5;0.41963635990725706;0.012865235539654143;0.11879792490140167;0.3825120917407082;0.5330578512396694;5;-0.0454560674916519;0.08914649104189575;0.10555174777244689;11.194144837023531;1.3922482993296539;312;
ba_599_n135_m2.gml;133;276;0.031442;2;26;4.1504;0.0892;6;3.1880829894284584;4;6;0.534310917426763;0.016887291093799734;0.2802760077374249;0.3172824474127718;0.4888888888888889;3;-0.06958188944020917;0.08919973849190484;0.07123583378305451;7.969285676318557;0.5547841230226961;144;
ba_59_n79_m3.gml;79;255;0.082765;3;22;6.4557;0.147197;4;2.444800512738343;3;4;0.45989625631860626;0.019170702715006514;0.13709368395864113;0.4099543691439809;0.5531914893617021;5;0.031747577331306565;0.14719667222998334;0.16468435498627632;10.007955510112575;1.4160568939869023;177;
