instance;solved;time;GCN;LCN;stress
ba_2720_n154_m2.gml;1;9.821;1893;37;0.349
ba_2725_n126_m3.gml;1;13.915;3843;64;0.3587
ba_2751_n73_m1.gml;1;3.4887;3;2;0.2957
ba_2766_n192_m1.gml;1;3.6867;12;3;0.3518
ba_2782_n145_m3.gml;1;16.9478;6493;102;0.3726
ba_278_n105_m2.gml;1;8.3087;784;26;0.3355
ba_281_n105_m2.gml;1;8.4759;985;32;0.3445
ba_282_n91_m2.gml;1;6.7236;626;23;0.3483
ba_2847_n52_m2.gml;1;5.1654;178;11;0.3767
ba_2870_n147_m2.gml;1;11.6586;3129;60;0.3681
ba_28_n108_m3.gml;1;13.5981;3757;71;0.3598
ba_2905_n197_m1.gml;1;5.2651;31;4;0.3194
ba_2938_n142_m2.gml;1;9.6117;1785;37;0.3563
ba_2943_n115_m3.gml;1;14.3265;3670;80;0.3592
ba_2977_n56_m2.gml;1;5.3484;208;13;0.3669
ba_2988_n198_m1.gml;1;3.2006;11;2;0.3244
ba_2996_n138_m3.gml;1;13.115;5207;87;0.365
ba_3017_n107_m3.gml;1;9.8547;3186;67;0.3643
ba_3034_n57_m3.gml;1;5.7153;766;29;0.3508
ba_3053_n149_m3.gml;1;13.0278;7183;113;0.3692
