instance;solved;time;GCN;LCN;stress
ba_7227_n83_m3.gml;1;8.8559;2170;59;0.3597
ba_7242_n68_m2.gml;1;5.1477;416;15;0.35
ba_7245_n166_m1.gml;1;0.2123;5;1;0.2187
ba_7296_n83_m2.gml;1;5.3478;573;21;0.3511
ba_7298_n84_m3.gml;1;9.2044;2318;65;0.3538
ba_7351_n122_m3.gml;1;11.655;4618;75;0.3702
ba_7355_n50_m2.gml;1;3.9156;122;7;0.3244
ba_7426_n100_m3.gml;1;10.2315;3094;63;0.3655
ba_7428_n63_m3.gml;1;6.9151;1113;38;0.3658
ba_7448_n128_m1.gml;1;3.2013;23;3;0.3282
ba_7461_n81_m3.gml;1;8.6898;1753;46;0.3536
ba_7497_n67_m2.gml;1;5.9863;381;19;0.3509
ba_7540_n73_m3.gml;1;7.7697;1354;43;0.3448
ba_7542_n143_m2.gml;1;7.0387;1800;41;0.3406
ba_7552_n129_m1.gml;1;0.0436;4;1;0.2458
ba_7557_n82_m2.gml;1;4.9342;689;23;0.3517
ba_7571_n82_m3.gml;1;8.5016;1588;40;0.3549
ba_7579_n102_m2.gml;1;6.6814;802;26;0.3351
ba_7583_n132_m2.gml;1;6.6016;1556;34;0.3404
ba_7602_n200_m1.gml;1;0.6963;8;1;0.2987
