instance;solved;time;GCN;LCN;stress
ba_02_n121_m3.gml;1;12.4778;5300;82;0.3698
ba_1009_n130_m3.gml;1;11.3452;4582;70;0.3657
ba_1019_n84_m2.gml;1;5.2356;561;20;0.3393
ba_1028_n139_m3.gml;1;11.7566;5185;73;0.3684
ba_1051_n130_m2.gml;1;6.7641;1613;38;0.3449
ba_1066_n140_m2.gml;1;6.4889;1633;45;0.3495
ba_1078_n129_m2.gml;1;6.8118;1415;36;0.3464
ba_1095_n68_m2.gml;1;5.2931;330;15;0.3491
ba_1106_n64_m2.gml;1;4.6085;267;12;0.3576
ba_113_n149_m3.gml;1;12.819;6075;103;0.3652
ba_1217_n141_m3.gml;1;13.0485;5918;85;0.3684
ba_1230_n129_m1.gml;1;2.0258;8;1;0.2651
ba_123_n89_m3.gml;1;9.5714;2630;57;0.3639
ba_125_n128_m3.gml;1;11.5819;4395;69;0.3636
ba_1265_n105_m1.gml;1;1.3747;9;1;0.3103
ba_1281_n124_m3.gml;1;11.5588;4793;80;0.372
ba_1303_n77_m3.gml;1;7.7437;1806;36;0.3488
ba_1309_n133_m3.gml;1;9.7296;5005;76;0.3701
ba_1326_n140_m2.gml;1;5.637;1910;34;0.3526
ba_1332_n94_m2.gml;1;4.8016;846;27;0.3232
