ppo_gnn_LSTM-PreRshaping,ppo_gnn_LSTM-PreRshaping_initial_local_crossings,ppo_gnn_LSTM-PreRshaping_improvement,ppo_gnn_LSTM-PreRshaping_solved,ppo_gnn_LSTM-PreRshaping_runtime
8,12,4,False,2.93
4,8,4,False,2.69
25,32,7,False,4.95
6,8,2,False,2.51
9,18,9,False,2.84
27,37,10,False,3.89
6,8,2,False,2.48
8,8,0,False,2.89
19,21,2,False,3.7
16,21,5,False,4.03
4,10,6,False,2.25
13,14,1,False,3.67
18,25,7,False,3.54
7,9,2,False,3.03
6,7,1,False,2.64
6,10,4,False,2.32
3,5,2,False,2.22
4,6,2,False,2.4
4,4,0,False,2.35
6,13,7,False,2.68
4,5,1,True,0.03
14,15,1,False,3.24
14,22,8,False,3.51
12,23,11,False,3.21
7,9,2,False,2.54
9,13,4,False,2.85
4,4,0,False,2.42
10,13,3,False,2.8
14,22,8,False,3.4
9,11,2,False,2.81
19,25,6,False,4.28
15,18,3,False,3.38
12,15,3,False,2.82
16,25,9,False,4.22
9,15,6,False,3.62
14,16,2,False,4.03
9,12,3,False,3.44
6,11,5,False,2.68
8,11,3,False,2.67
9,10,1,False,2.9
6,8,2,False,2.72
8,10,2,False,3.12
5,6,1,False,2.34
6,10,4,False,2.74
17,18,1,False,3.62
17,25,8,False,3.85
8,10,2,False,3.19
6,7,1,False,2.45
6,9,3,False,2.78
7,10,3,False,2.8
12,19,7,False,3.27
15,18,3,False,3.89
14,16,2,False,2.92
16,17,1,False,3.92
23,26,3,False,4.05
10,12,2,False,3.15
3,4,1,False,2.36
19,20,1,False,3.83
21,28,7,False,4.29
14,22,8,False,3.39
6,6,0,False,2.58
3,4,1,False,2.37
7,10,3,False,3.26
12,19,7,False,3.79
5,7,2,False,2.55
11,13,2,False,3.6
12,16,4,False,3.27
11,17,6,False,3.38
6,8,2,False,2.47
21,26,5,False,4.19
4,7,3,False,2.42
20,22,2,False,4.33
14,19,5,False,3.64
9,12,3,False,3.02
