instance;solved;time;GCN;LCN;stress
ba_5352_n66_m3.gml;1;0.0333;1109;40;0.3932
ba_5358_n74_m2.gml;1;0.0215;298;16;0.3915
ba_5359_n114_m2.gml;1;0.0357;849;30;0.4018
ba_5363_n50_m3.gml;1;0.0201;453;22;0.3923
ba_5380_n53_m3.gml;1;0.0203;502;23;0.3959
ba_5388_n143_m3.gml;1;0.1297;6343;98;0.4433
ba_5395_n122_m3.gml;1;0.1232;5585;106;0.4154
ba_5427_n94_m2.gml;1;0.0283;539;19;0.3856
ba_542_n76_m2.gml;1;0.0242;472;24;0.4
ba_5430_n50_m2.gml;1;0.0161;204;16;0.3935
ba_5434_n93_m3.gml;1;0.0551;2206;52;0.4067
ba_5461_n134_m2.gml;1;0.0458;1298;43;0.3927
ba_5490_n91_m3.gml;1;0.0593;2480;57;0.4142
ba_5497_n61_m3.gml;1;0.0299;836;33;0.3953
ba_5528_n129_m2.gml;1;0.0442;1172;42;0.414
ba_5534_n65_m3.gml;1;0.0313;822;31;0.4107
ba_5580_n75_m3.gml;1;0.0467;2011;62;0.4146
ba_5583_n67_m2.gml;1;0.0221;320;18;0.3843
ba_5589_n55_m2.gml;1;0.0177;202;13;0.371
ba_5608_n86_m3.gml;1;0.0489;1854;57;0.4259
ba_5625_n75_m2.gml;1;0.0239;436;22;0.3743
ba_5627_n110_m3.gml;1;0.0809;3735;70;0.4289
ba_5689_n82_m2.gml;1;0.0234;365;19;0.3698
ba_5698_n77_m2.gml;1;0.024;446;24;0.4181
ba_5707_n95_m3.gml;1;0.063;2453;67;0.4132
ba_5713_n118_m2.gml;1;0.0382;811;29;0.4123
ba_5715_n145_m2.gml;1;0.0569;1608;39;0.426
ba_5733_n64_m2.gml;1;0.0194;215;17;0.3832
ba_5735_n136_m3.gml;1;0.1143;5669;96;0.4153
ba_5761_n138_m3.gml;1;0.1035;4523;93;0.4269
ba_5774_n75_m3.gml;1;0.0455;1523;44;0.425
ba_5822_n148_m3.gml;1;0.1233;4771;75;0.4129
ba_5824_n94_m2.gml;1;0.0318;662;22;0.3875
ba_5830_n110_m2.gml;1;0.0366;820;30;0.398
ba_5838_n89_m3.gml;1;0.0515;1977;52;0.4126
ba_5849_n129_m3.gml;1;0.1049;4674;81;0.429
ba_5892_n140_m3.gml;1;0.1058;4907;86;0.4173
ba_5917_n63_m3.gml;1;0.0313;780;34;0.4221
ba_5943_n178_m1.gml;1;0.0116;22;3;0.3616
ba_5957_n88_m2.gml;1;0.0268;546;23;0.3927
ba_5960_n119_m2.gml;1;0.0362;803;28;0.3885
ba_5966_n142_m3.gml;1;0.1301;7147;106;0.4159
ba_598_n121_m2.gml;1;0.0429;1023;33;0.3835
ba_5990_n130_m3.gml;1;0.11;5577;99;0.4135
ba_6010_n105_m2.gml;1;0.0368;1032;38;0.42
ba_6039_n94_m2.gml;1;0.0261;525;22;0.3984
ba_6045_n119_m2.gml;1;0.0383;986;32;0.4185
ba_6077_n129_m2.gml;1;0.0463;1345;50;0.4056
ba_6092_n98_m3.gml;1;0.053;2259;57;0.4116
ba_6127_n121_m3.gml;1;0.0797;3447;57;0.4353
