instance;solved;time;GCN;LCN;stress
ba_3638_n122_m2.gml;1;0.0437;1152;35;0.392
ba_3640_n97_m3.gml;1;0.0579;2432;63;0.4154
ba_3648_n79_m2.gml;1;0.0223;372;24;0.4015
ba_3651_n106_m3.gml;1;0.063;2747;65;0.4118
ba_366_n91_m2.gml;1;0.023;461;23;0.4103
ba_3680_n150_m1.gml;1;0.0103;7;3;0.3569
ba_368_n69_m2.gml;1;0.0211;442;23;0.3797
ba_369_n121_m3.gml;1;0.0772;3666;65;0.4205
ba_3723_n126_m3.gml;1;0.0878;3519;72;0.4119
ba_3727_n112_m3.gml;1;0.0856;4017;81;0.4191
ba_3752_n88_m2.gml;1;0.0295;639;25;0.4055
ba_3758_n57_m3.gml;1;0.0269;654;27;0.4073
ba_3779_n51_m3.gml;1;0.0245;629;25;0.4058
ba_379_n72_m3.gml;1;0.0449;1771;47;0.4023
ba_3804_n103_m3.gml;1;0.0606;2489;58;0.4386
ba_3863_n138_m1.gml;1;0.0099;14;4;0.4159
ba_3869_n67_m3.gml;1;0.0354;1106;38;0.4201
ba_3882_n77_m3.gml;1;0.0428;1398;40;0.4268
ba_3893_n92_m2.gml;1;0.0269;520;22;0.3612
ba_3915_n112_m2.gml;1;0.0364;834;31;0.3995
ba_3919_n146_m3.gml;1;0.1045;4784;83;0.4359
ba_3925_n103_m2.gml;1;0.0315;604;27;0.3983
ba_3926_n70_m2.gml;1;0.0208;353;18;0.3966
ba_394_n102_m1.gml;1;0.0097;3;1;0.3897
ba_3990_n95_m3.gml;1;0.0561;2009;52;0.4153
ba_3998_n129_m2.gml;1;0.0433;1021;33;0.4139
ba_3999_n65_m3.gml;1;0.0317;854;43;0.4061
ba_4010_n100_m3.gml;1;0.0676;2934;86;0.4115
ba_4022_n87_m3.gml;1;0.0489;1715;55;0.4056
ba_4147_n116_m2.gml;1;0.0384;1018;25;0.3929
ba_414_n63_m2.gml;1;0.019;232;14;0.354
ba_4168_n101_m3.gml;1;0.0678;2727;56;0.4123
ba_4173_n112_m2.gml;1;0.0382;863;26;0.4301
ba_4175_n60_m3.gml;1;0.0265;594;26;0.4076
ba_4179_n78_m2.gml;1;0.0235;381;17;0.3999
ba_418_n87_m2.gml;1;0.0283;560;25;0.3999
ba_4206_n119_m3.gml;1;0.0945;4621;82;0.4147
ba_4215_n126_m3.gml;1;0.0953;4408;82;0.4223
ba_4228_n93_m2.gml;1;0.0297;529;20;0.4044
ba_4258_n79_m2.gml;1;0.025;394;19;0.4058
ba_426_n137_m3.gml;1;0.1037;4894;81;0.4276
ba_4271_n102_m2.gml;1;0.0324;640;25;0.4068
ba_4285_n92_m2.gml;1;0.0314;688;25;0.3989
ba_4300_n110_m2.gml;1;0.0433;1038;31;0.4078
ba_4311_n131_m2.gml;1;0.0444;1236;38;0.3896
ba_4343_n72_m2.gml;1;0.0212;280;17;0.3784
ba_4362_n54_m3.gml;1;0.0273;828;30;0.4144
ba_4387_n149_m1.gml;1;0.0122;42;5;0.3424
ba_4394_n87_m2.gml;1;0.0306;529;25;0.3943
ba_4415_n120_m2.gml;1;0.0382;733;27;0.3807
